param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.917980
2 	 0.723760
3 	 0.154939
4 	 0.569319
5 	 0.529555
6 	 0.939542
7 	 0.692623
8 	 0.539423
9 	 0.918724
10 	 0.080916
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.381155	-0.836461	-0.265113	-0.988783	-0.314984	-0.032169	-0.380817	0.455530	0.248542	-0.790310	
2	-0.267283	-0.786798	-0.301517	-0.310431	-0.429173	-0.596028	0.685567	0.619870	0.645817	-0.112121	
3	-0.976506	-0.777443	-0.395842	0.656809	-0.989017	-0.775636	0.094917	0.202970	0.562020	-0.952475	
4	0.090316	-0.371673	0.099521	-0.955421	-0.459933	-0.842128	-0.889660	-0.738383	0.020476	-0.422858	
5	-0.228850	0.493442	-0.974610	-0.939362	0.116414	-0.804077	0.020332	-0.978219	0.213924	-0.570209	
6	-0.069712	0.735645	-0.281538	-0.251288	-0.209578	-0.113152	-0.411491	-0.414854	-0.435097	-0.556979	
7	-0.894772	-0.099239	0.369985	-0.869279	0.690302	-0.012127	-0.667345	-0.032231	0.871992	-0.614632	
8	0.961098	0.470801	-0.584917	0.706095	-0.492874	-0.411098	0.358567	-0.848658	0.233738	0.678306	
9	0.750745	-0.609177	-0.638325	-0.272897	0.840379	0.420663	-0.606366	-0.833018	-0.186301	-0.067912	
10	-0.374767	-0.612190	-0.411769	0.417374	-0.710084	-0.956999	-0.208215	0.958989	-0.899643	0.086278	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	0.161635	-0.254608	0.825021	0.690302	-0.220925	0.040329	0.562494	0.946269	-0.773613	0.896665	
2	-0.811308	-0.634983	0.420816	-0.016848	0.908725	0.951082	-0.768057	-0.248625	0.537211	-0.141362	
3	-0.871978	-0.117981	0.205593	-0.903503	0.153509	0.660849	0.052778	0.743740	-0.723602	0.484097	
4	0.973620	0.157351	0.686778	0.176845	-0.825283	-0.568041	-0.175313	0.388585	0.170064	0.115231	
5	-0.432337	0.672319	0.812992	0.959777	-0.785681	-0.103153	0.004585	-0.940842	0.017355	0.828007	
6	-0.716197	0.176590	0.155971	-0.697069	0.907365	0.145363	-0.869370	-0.825459	0.020246	0.472821	
7	-0.962442	0.848064	-0.584809	0.253845	0.610688	0.141603	-0.460928	-0.810074	-0.281325	-0.212138	
8	0.741415	-0.037432	-0.333820	0.288830	-0.143397	0.861051	-0.499996	0.128453	-0.889042	-0.878929	
9	-0.652509	0.243687	0.840022	-0.787548	0.344983	-0.489808	0.337355	0.132085	-0.327611	0.621226	
10	-0.656929	-0.116587	-0.017685	-0.402048	-0.576142	0.312679	-0.899852	-0.378784	0.899704	-0.367158	
;
