param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.777848
2 	 0.406483
;
 param A :=
[1, *, *]:  1	2	:=
1	0.295541	-0.356360	
2	-0.640411	-0.654791	

[2, *, *]:  1	2	:=
1	-0.182726	-0.186156	
2	-0.517163	0.950445	

[3, *, *]:  1	2	:=
1	-0.359361	0.272612	
2	0.964982	-0.249818	

[4, *, *]:  1	2	:=
1	0.714969	-0.495934	
2	0.239173	0.585711	

[5, *, *]:  1	2	:=
1	-0.134123	-0.339446	
2	-0.284978	0.394738	

[6, *, *]:  1	2	:=
1	-0.462700	-0.409422	
2	0.616556	0.088243	

[7, *, *]:  1	2	:=
1	-0.024157	0.776773	
2	0.710713	-0.631231	

[8, *, *]:  1	2	:=
1	0.170697	-0.107766	
2	0.796410	0.843737	

[9, *, *]:  1	2	:=
1	-0.442018	0.364907	
2	0.217662	-0.543589	

[10, *, *]:  1	2	:=
1	-0.972465	0.876964	
2	-0.166552	-0.313944	
;
