param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.237856
2 	 0.758181
3 	 0.261050
4 	 0.033082
5 	 0.733448
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.452404	-0.826655	0.367998	-0.485083	-0.384415	
2	-0.822082	0.189208	-0.656340	0.303368	-0.696972	
3	-0.346597	0.861980	-0.977480	-0.428434	0.942567	
4	0.896731	-0.732443	0.775366	-0.980585	-0.670055	
5	-0.674102	0.026025	-0.929537	0.150904	0.454471	

[2, *, *]:  1	2	3	4	5	:=
1	0.781448	0.862811	0.153921	-0.073158	0.512340	
2	0.717430	0.774242	-0.496686	0.019748	0.587513	
3	-0.631486	0.190932	-0.399656	0.023160	0.169765	
4	-0.526383	-0.781265	-0.658025	0.994278	-0.074524	
5	-0.963275	-0.652915	-0.620817	-0.740808	0.786853	

[3, *, *]:  1	2	3	4	5	:=
1	0.656360	0.144862	-0.950308	0.597652	0.654888	
2	-0.899418	0.668759	-0.276408	0.621994	0.334668	
3	0.925968	-0.230568	0.970634	0.856414	0.187872	
4	-0.985320	-0.817918	0.737558	-0.551231	0.303952	
5	0.146264	0.163375	-0.695007	-0.002065	-0.522968	

[4, *, *]:  1	2	3	4	5	:=
1	-0.948920	0.314330	0.932823	-0.095248	0.139307	
2	0.472515	-0.594202	0.129572	0.464541	-0.510098	
3	-0.346416	0.652063	-0.282178	0.849020	-0.920844	
4	-0.246486	-0.239587	0.237940	-0.041457	0.576280	
5	0.225232	0.263489	0.003586	-0.823540	-0.454464	

[5, *, *]:  1	2	3	4	5	:=
1	0.554141	0.068800	0.320284	-0.547912	-0.399403	
2	-0.023582	0.647103	0.389492	-0.997770	0.107504	
3	-0.364128	-0.832209	-0.373557	0.371433	0.703953	
4	-0.371949	-0.782883	-0.924444	0.904125	0.589935	
5	-0.915950	0.058512	-0.170874	-0.217696	0.369513	

[6, *, *]:  1	2	3	4	5	:=
1	-0.135786	0.859960	-0.579410	0.812670	-0.348919	
2	0.380868	-0.619901	0.282850	-0.221522	-0.828301	
3	-0.567949	-0.407873	0.419178	0.066807	0.072048	
4	-0.432113	-0.987579	-0.762445	0.926483	-0.327749	
5	0.555641	-0.136876	-0.835712	0.518108	-0.956629	

[7, *, *]:  1	2	3	4	5	:=
1	0.542305	0.224645	0.321678	0.095149	-0.470327	
2	-0.230182	-0.369208	0.390304	0.509339	0.305386	
3	0.142642	-0.779847	-0.584564	0.059315	0.683796	
4	0.511486	-0.852162	-0.834408	-0.426032	0.277896	
5	0.881695	-0.360618	-0.388979	0.248359	0.131263	

[8, *, *]:  1	2	3	4	5	:=
1	-0.385716	-0.717441	0.221265	-0.005103	0.944041	
2	0.753554	-0.370142	-0.574171	-0.020384	-0.571204	
3	0.977644	-0.266281	-0.500480	0.991154	0.082242	
4	0.554959	-0.416210	-0.775699	0.962217	-0.093129	
5	0.147288	-0.108094	-0.384823	-0.126874	0.935218	

[9, *, *]:  1	2	3	4	5	:=
1	0.672352	0.586969	0.113183	0.333616	0.481564	
2	-0.571706	-0.928242	0.292181	-0.977793	-0.686855	
3	-0.120922	-0.617282	-0.455814	0.705940	0.437550	
4	-0.663046	0.954911	0.904182	0.556652	-0.806363	
5	0.058174	0.921595	0.339550	0.369848	0.413899	

[10, *, *]:  1	2	3	4	5	:=
1	-0.994736	-0.368692	-0.391030	-0.435125	0.870854	
2	0.552412	0.767635	0.724973	0.986474	0.677690	
3	-0.016886	-0.639533	0.684358	-0.488498	-0.688445	
4	-0.591226	0.877101	-0.150775	0.841351	0.148567	
5	0.458493	0.941500	-0.272631	-0.143330	0.347006	
;
