param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.256533
2 	 0.213861
3 	 0.551206
4 	 0.951396
5 	 0.237737
6 	 0.801599
7 	 0.030410
8 	 0.506220
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.431949	-0.674519	0.113372	-0.013253	0.853708	0.567242	0.152991	0.425663	
2	-0.434557	0.673284	-0.394965	0.272835	0.194766	-0.823662	0.288755	-0.812576	
3	-0.216052	-0.830395	-0.457554	-0.997000	-0.996338	-0.288601	-0.080264	0.275616	
4	0.070915	0.712571	-0.967131	-0.773522	0.360076	-0.400597	0.115954	-0.771283	
5	0.545771	0.481690	0.030362	-0.066917	-0.574453	0.138006	0.948652	-0.796304	
6	0.923317	0.716673	-0.961901	0.246556	-0.969488	0.020306	0.503345	0.333338	
7	-0.699229	0.779840	0.796457	0.639342	0.471496	0.564253	-0.238027	-0.665800	
8	-0.210420	-0.698447	-0.466037	-0.170389	0.103821	-0.625884	-0.131967	0.529437	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.501181	-0.171229	0.339833	0.569138	0.213613	0.738421	-0.746308	0.795478	
2	-0.375959	-0.012606	0.538880	0.064546	-0.635715	0.028072	0.046623	0.295582	
3	0.141729	0.028499	0.080119	-0.045147	-0.499455	-0.896505	0.701222	0.889275	
4	0.290281	0.878657	-0.916724	0.395899	0.157636	0.600676	0.075219	0.258597	
5	0.622929	-0.896698	-0.529838	-0.965166	-0.474755	-0.637622	0.460093	0.744857	
6	-0.597067	0.143106	-0.959120	0.389982	-0.521166	0.337483	0.570919	0.191311	
7	0.352485	-0.020480	-0.344443	-0.376081	-0.281937	0.670743	0.673191	-0.311302	
8	0.645781	-0.312344	-0.063888	0.119582	0.808822	0.929593	0.333065	0.626915	
;
